ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
121	12	1	1	0.000000	17.250000	16.666667	0.000000	0.000000	0	0	0
122	2	2	2	0.000000	31.500000	29.500000	0.000000	0.000000	0	0	0
123	10	1	1	0.000000	17.700000	17.500000	0.000000	0.000000	0	0	0
124	3	1	1	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
125	1	2	2	0.000000	38.000000	36.000000	0.000000	0.000000	0	0	0
126	10	2	1	0.000000	20.900000	20.200000	0.000000	0.000000	0	0	0
127	2	2	1	0.000000	21.500000	21.500000	0.000000	0.000000	0	0	0
128	4	1	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
129	1	1	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
130	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
131	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
132	2	1	2	0.000000	57.500000	45.000000	0.000000	0.000000	0	0	0
133	1	3	2	0.000000	64.000000	31.000000	0.000000	0.000000	0	0	0
134	1	2	1	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
135	2	2	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
136	2	2	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
137	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
138	3	3	2	0.000000	23.333333	23.333333	0.000000	0.000000	0	0	0
139	1	1	1	0.000000	20.000000	19.000000	0.000000	0.000000	0	0	0
140	1	2	3	0.000000	44.000000	42.000000	0.000000	0.000000	0	0	0
141	1	1	2	0.000000	45.000000	44.000000	0.000000	0.000000	0	0	0
142	3	2	2	0.000000	43.333333	31.666667	0.000000	0.000000	0	0	0
143	5	1	1	0.000000	18.600000	16.600000	0.000000	0.000000	0	0	0
144	13	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
145	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
146	32	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
147	11	3	2	0.000000	49.090909	37.363636	0.000000	0.000000	0	0	0
148	4	1	1	0.000000	23.750000	23.750000	0.000000	0.000000	0	0	0
149	9	1	2	0.000000	22.666667	22.666667	0.000000	0.000000	0	0	0
150	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
151	41	1	1	0.000000	17.658537	17.658537	0.000000	0.000000	0	0	0
152	31	2	2	0.000000	24.419355	23.709677	0.000000	0.000000	0	0	0
153	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
154	1	2	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
155	3	1	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
156	1	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
157	2	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
158	1	1	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
159	3	2	3	0.000000	38.333333	37.666667	0.000000	0.000000	0	0	0
160	1	1	2	0.000000	25.000000	1.000000	0.000000	0.000000	0	0	0
161	2	2	2	0.000000	26.000000	2.000000	0.000000	0.000000	0	0	0
162	1	3	2	0.000000	31.000000	29.000000	0.000000	0.000000	0	0	0
163	1	1	1	0.000000	29.000000	27.000000	0.000000	0.000000	0	0	0
164	11	2	1	0.000000	28.090909	27.090909	0.000000	0.000000	0	0	0
165	8	1	1	0.000000	25.375000	25.375000	0.000000	0.000000	0	0	0
166	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
167	2	1	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
168	3	1	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
169	1	2	3	0.000000	43.000000	43.000000	0.000000	0.000000	0	0	0
170	8	1	1	0.000000	24.500000	24.500000	0.000000	0.000000	0	0	0
171	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
172	7	1	1	0.000000	21.714286	20.571429	0.000000	0.000000	0	0	0
173	1	2	2	0.000000	21.000000	19.000000	0.000000	0.000000	0	0	0
174	1	2	2	0.000000	21.000000	19.000000	0.000000	0.000000	0	0	0
175	2	1	1	0.000000	20.000000	18.000000	0.000000	0.000000	0	0	0
176	1	1	2	0.000000	21.000000	19.000000	0.000000	0.000000	0	0	0
177	1	2	2	0.000000	21.000000	19.000000	0.000000	0.000000	0	0	0
178	1	2	2	0.000000	21.000000	19.000000	0.000000	0.000000	0	0	0
179	1	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
180	1	2	3	0.000000	66.000000	66.000000	0.000000	0.000000	0	0	0
181	3	1	1	0.000000	16.333333	16.333333	0.000000	0.000000	0	0	0
182	1	2	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
183	29	1	1	0.000000	11.103448	11.103448	0.000000	0.000000	0	0	0
184	5	1	1	0.000000	12.600000	11.600000	0.000000	0.000000	0	0	0
185	1	2	3	0.000000	26.000000	25.000000	0.000000	0.000000	0	0	0
186	1	2	1	0.000000	24.000000	23.000000	0.000000	0.000000	0	0	0
187	1	2	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
188	3	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
189	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
190	41	2	1	0.000000	13.634146	12.878049	0.000000	0.000000	0	0	0
191	4	1	1	0.000000	13.500000	13.000000	0.000000	0.000000	0	0	0
192	1	2	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
193	1	2	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
194	13	1	1	0.000000	13.538462	12.846154	0.000000	0.000000	0	0	0
195	1	1	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
196	4	2	2	0.000000	16.000000	15.750000	0.000000	0.000000	0	0	0
197	5	1	1	0.000000	16.000000	14.400000	0.000000	0.000000	0	0	0
198	3	2	2	0.000000	18.000000	14.000000	0.000000	0.000000	0	0	0
199	6	1	1	0.000000	17.000000	13.666667	0.000000	0.000000	0	0	0
200	2	1	2	0.000000	21.500000	21.500000	0.000000	0.000000	0	0	0
201	1	2	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	0	0
202	11	1	1	0.000000	21.181818	21.181818	0.000000	0.000000	0	0	0
203	3	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
204	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
205	2	1	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
206	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
207	7	1	1	0.000000	18.714286	18.714286	0.000000	0.000000	0	0	0
208	1	1	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
209	1	2	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
210	5	1	1	0.000000	18.200000	18.200000	0.000000	0.000000	0	0	0
211	1	2	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
212	14	2	1	0.000000	18.071429	18.071429	0.000000	0.000000	0	0	0
213	4	1	1	0.000000	17.750000	17.750000	0.000000	0.000000	0	0	0
214	1	3	2	0.000000	39.000000	39.000000	0.000000	0.000000	0	0	0
215	8	1	1	0.000000	18.625000	18.625000	0.000000	0.000000	0	0	0
216	1	2	2	0.000000	36.000000	36.000000	0.000000	0.000000	0	0	0
217	2	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
218	1	1	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
219	1	2	2	0.000000	24.000000	23.000000	0.000000	0.000000	0	0	0
220	2	1	1	0.000000	21.000000	20.000000	0.000000	0.000000	0	0	0
221	2	1	2	0.000000	21.500000	20.500000	0.000000	0.000000	0	0	0
222	1	1	4	0.000000	54.000000	32.000000	0.000000	0.000000	0	0	0
223	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
224	2	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
225	8	1	2	0.000000	23.500000	22.500000	0.000000	0.000000	0	0	0
226	1	2	2	0.000000	27.000000	26.000000	0.000000	0.000000	0	0	0
227	12	1	1	0.000000	25.666667	25.000000	0.000000	0.000000	0	0	0
228	5	1	1	0.000000	24.000000	23.400000	0.000000	0.000000	0	0	0
229	3	1	2	0.000000	24.666667	24.666667	0.000000	0.000000	0	0	0
230	4	1	2	0.000000	25.000000	24.250000	0.000000	0.000000	0	0	0
231	1	1	2	0.000000	37.000000	36.000000	0.000000	0.000000	0	0	0
232	1	1	2	0.000000	103.000000	77.000000	0.000000	0.000000	0	0	0
233	3	3	4	0.000000	151.000000	80.000000	0.000000	0.000000	0	0	0
234	1	2	1	0.000000	107.000000	83.000000	0.000000	0.000000	0	0	0
235	1	2	2	0.000000	114.000000	80.000000	0.000000	0.000000	0	0	0
