ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
160	38	2	2	0.000000	18.368421	17.921053	0.000000	0.000000	0	N/A	N/A
161	31	1	1	0.000000	21.419355	21.419355	0.000000	0.000000	0	N/A	N/A
162	31	1	1	0.000000	6.967742	6.967742	0.000000	0.000000	0	N/A	N/A
163	78	1	0	0.000000	1.102564	1.102564	0.000000	0.000000	0	N/A	N/A
164	31	1	1	0.000000	3.806452	2.967742	0.000000	0.000000	0	N/A	N/A
165	87	1	2	0.000000	4.379310	3.839080	0.000000	0.000000	0	N/A	N/A
166	9	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	N/A	N/A
167	1	1	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	N/A	N/A
168	21	1	2	0.000000	13.714286	13.714286	0.000000	0.000000	0	N/A	N/A
169	2	2	2	0.000000	25.500000	24.500000	0.000000	0.000000	0	N/A	N/A
170	2	2	1	0.000000	24.000000	23.000000	0.000000	0.000000	0	N/A	N/A
171	39	1	1	0.000000	17.589744	17.051282	0.000000	0.000000	0	N/A	N/A
172	441	2	0	0.000000	5.727891	5.696145	0.000000	0.000000	0	N/A	N/A
173	31	1	1	0.000000	16.935484	16.387097	0.000000	0.000000	0	N/A	N/A
174	360	1	2	0.000000	12.488889	12.058333	0.000000	0.000000	0	N/A	N/A
175	68	1	0	0.000000	1.264706	1.264706	0.000000	0.000000	0	N/A	N/A
176	33	1	2	0.000000	10.030303	10.030303	0.000000	0.000000	0	N/A	N/A
177	1	1	2	0.000000	11.000000	10.000000	0.000000	0.000000	0	N/A	N/A
178	1	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	N/A	N/A
179	8	1	2	0.000000	17.750000	17.750000	0.000000	0.000000	0	N/A	N/A
180	1	1	2	0.000000	40.000000	40.000000	0.000000	0.000000	0	N/A	N/A
181	3	1	2	0.000000	47.000000	47.000000	0.000000	0.000000	0	N/A	N/A
182	4	2	2	0.000000	50.250000	50.250000	0.000000	0.000000	0	N/A	N/A
183	4	2	1	0.000000	48.750000	48.750000	0.000000	0.000000	0	N/A	N/A
184	4	2	1	0.000000	38.750000	38.750000	0.000000	0.000000	0	N/A	N/A
185	2	1	1	0.000000	34.000000	34.000000	0.000000	0.000000	0	N/A	N/A
186	4	1	3	0.000000	47.000000	47.000000	0.000000	0.000000	0	N/A	N/A
187	1	2	2	0.000000	46.000000	46.000000	0.000000	0.000000	0	N/A	N/A
188	3	2	2	0.000000	48.000000	48.000000	0.000000	0.000000	0	N/A	N/A
189	1	1	1	0.000000	47.000000	47.000000	0.000000	0.000000	0	N/A	N/A
190	5	1	2	0.000000	49.600000	49.600000	0.000000	0.000000	0	N/A	N/A
191	3	2	2	0.000000	65.333333	61.666667	0.000000	0.000000	0	N/A	N/A
192	1	2	1	0.000000	50.000000	50.000000	0.000000	0.000000	0	N/A	N/A
193	3	2	1	0.000000	31.666667	31.666667	0.000000	0.000000	0	N/A	N/A
194	27	1	1	0.000000	13.629630	9.185185	0.000000	0.000000	0	N/A	N/A
195	492	1	2	0.000000	16.483740	15.176829	0.000000	0.000000	0	N/A	N/A
196	193	1	1	0.000000	8.000000	7.046632	0.000000	0.000000	0	N/A	N/A
197	1	2	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	N/A	N/A
198	21	2	1	0.000000	8.619048	8.619048	0.000000	0.000000	0	N/A	N/A
199	265	0	2	0.000000	8.716981	8.516981	0.000000	0.000000	0	N/A	N/A
200	1	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	N/A	N/A
201	170	2	2	0.000000	9.611765	9.429412	0.000000	0.000000	0	N/A	N/A
202	4	2	1	0.000000	17.250000	17.250000	0.000000	0.000000	0	N/A	N/A
203	7	1	2	0.000000	8.428571	8.428571	0.000000	0.000000	0	N/A	N/A
204	31	1	1	0.000000	15.387097	15.387097	0.000000	0.000000	0	N/A	N/A
205	23	1	2	0.000000	15.739130	14.826087	0.000000	0.000000	0	N/A	N/A
206	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
207	26	1	1	0.000000	12.269231	12.269231	0.000000	0.000000	0	N/A	N/A
208	123	0	2	0.000000	11.528455	11.487805	0.000000	0.000000	0	N/A	N/A
209	185	1	0	0.000000	4.702703	4.535135	0.000000	0.000000	0	N/A	N/A
210	4	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	N/A	N/A
211	13	2	1	0.000000	16.615385	8.230769	0.000000	0.000000	0	N/A	N/A
212	6	1	1	0.000000	15.166667	6.833333	0.000000	0.000000	0	N/A	N/A
213	7	1	2	0.000000	15.000000	6.571429	0.000000	0.000000	0	N/A	N/A
214	5	1	2	0.000000	15.400000	7.000000	0.000000	0.000000	0	N/A	N/A
215	53	1	1	0.000000	13.849057	13.264151	0.000000	0.000000	0	N/A	N/A
216	25	1	1	0.000000	2.200000	2.200000	0.000000	0.000000	0	N/A	N/A
217	31	1	1	0.000000	1.419355	1.419355	0.000000	0.000000	0	N/A	N/A
218	340	2	2	0.000000	14.817647	11.538235	0.000000	0.000000	0	N/A	N/A
219	24	1	1	0.000000	2.958333	2.958333	0.000000	0.000000	0	N/A	N/A
220	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	N/A	N/A
221	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
222	6	1	1	0.000000	2.166667	2.166667	0.000000	0.000000	0	N/A	N/A
223	31	1	1	0.000000	1.645161	1.645161	0.000000	0.000000	0	N/A	N/A
224	31	1	1	0.000000	10.193548	10.193548	0.000000	0.000000	0	N/A	N/A
225	63	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
226	14	3	1	0.000000	9.285714	9.285714	0.000000	0.000000	0	N/A	N/A
227	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
228	18	1	1	0.000000	14.500000	14.500000	0.000000	0.000000	0	N/A	N/A
229	46	1	1	0.000000	1.413043	1.413043	0.000000	0.000000	0	N/A	N/A
230	42	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
231	239	1	1	0.000000	12.853556	11.472803	0.000000	0.000000	0	N/A	N/A
232	20	2	1	0.000000	1.100000	1.100000	0.000000	0.000000	0	N/A	N/A
233	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
234	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
235	67	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
236	71	1	0	0.000000	1.042254	1.042254	0.000000	0.000000	0	N/A	N/A
237	63	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
238	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	N/A	N/A
239	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
240	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
241	52	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
242	65	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
243	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
244	65	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
245	65	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
246	68	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
247	63	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
248	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
249	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
250	67	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
251	7	2	1	0.000000	1.428571	1.428571	0.000000	0.000000	0	N/A	N/A
252	24	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
253	64	1	0	0.000000	1.078125	1.078125	0.000000	0.000000	0	N/A	N/A
254	264	3	2	0.000000	11.378788	11.109848	0.000000	0.000000	0	N/A	N/A
255	10	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	N/A	N/A
256	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	N/A	N/A
257	8	2	2	0.000000	14.875000	14.875000	0.000000	0.000000	0	N/A	N/A
258	3	2	1	0.000000	13.333333	13.333333	0.000000	0.000000	0	N/A	N/A
259	9	1	1	0.000000	5.555556	5.555556	0.000000	0.000000	0	N/A	N/A
260	4	1	2	0.000000	18.750000	17.750000	0.000000	0.000000	0	N/A	N/A
261	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	N/A	N/A
262	31	1	1	0.000000	22.161290	22.161290	0.000000	0.000000	0	N/A	N/A
263	5	2	3	0.000000	20.400000	19.400000	0.000000	0.000000	0	N/A	N/A
264	59	1	2	0.000000	10.949153	7.542373	0.000000	0.000000	0	N/A	N/A
265	10	1	2	0.000000	18.800000	18.800000	0.000000	0.000000	0	N/A	N/A
266	70	1	0	0.000000	1.042857	1.042857	0.000000	0.000000	0	N/A	N/A
267	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	N/A	N/A
268	7	2	2	0.000000	6.857143	6.857143	0.000000	0.000000	0	N/A	N/A
269	13	2	1	0.000000	8.923077	8.923077	0.000000	0.000000	0	N/A	N/A
270	3	2	1	0.000000	9.333333	9.333333	0.000000	0.000000	0	N/A	N/A
271	11	1	1	0.000000	7.454545	7.454545	0.000000	0.000000	0	N/A	N/A
272	1	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	N/A	N/A
273	5	2	2	0.000000	19.800000	17.800000	0.000000	0.000000	0	N/A	N/A
274	2	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	N/A	N/A
275	7	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	N/A	N/A
276	6	1	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	N/A	N/A
277	1	2	2	0.000000	15.000000	14.000000	0.000000	0.000000	0	N/A	N/A
278	64	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
279	2	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	N/A	N/A
280	8	1	3	0.000000	17.000000	13.000000	0.000000	0.000000	0	N/A	N/A
281	10	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	N/A	N/A
282	31	1	1	0.000000	1.451613	1.451613	0.000000	0.000000	0	N/A	N/A
283	67	1	0	0.000000	1.253731	1.253731	0.000000	0.000000	0	N/A	N/A
284	2	2	2	0.000000	37.000000	37.000000	0.000000	0.000000	0	N/A	N/A
285	1	2	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	N/A	N/A
286	6	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	N/A	N/A
287	103	1	2	0.000000	11.582524	11.116505	0.000000	0.000000	0	N/A	N/A
288	2	2	1	0.000000	1.500000	1.500000	0.000000	0.000000	0	N/A	N/A
289	1	2	2	0.000000	27.000000	27.000000	0.000000	0.000000	0	N/A	N/A
290	2	1	2	0.000000	3.500000	3.500000	0.000000	0.000000	0	N/A	N/A
291	17	2	2	0.000000	1.882353	1.882353	0.000000	0.000000	0	N/A	N/A
292	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
293	8	2	2	0.000000	2.625000	2.625000	0.000000	0.000000	0	N/A	N/A
294	160	2	0	0.000000	6.725000	6.725000	0.000000	0.000000	0	N/A	N/A
295	48	1	1	0.000000	11.666667	11.020833	0.000000	0.000000	0	N/A	N/A
296	7	1	2	0.000000	23.142857	23.142857	0.000000	0.000000	0	N/A	N/A
